,Item_id,sales_qty,sales_amt,COGS,profit,Comments,Status,Performance_Category,style_category,profit_margin,Customer,Total_Qty,Brand,Closeout_Qty
259,P3477SSYV-50-S,6.0,561.69,378.57,0.483715,SHARED WITH KOHLS.COM,Active,Hot Seller,PENDANT,0.0008611778739162,JC002,0.0,N/A,0.0
260,P3497SSYV-50-S,6.0,979.44,689.45,0.42061,None,Active,Hot Seller,PENDANT,0.0004294392714204,JC002,0.0,N/A,0.0
261,P356210KY-50-S,4.0,1699.92,1273.26,0.335092,NO CHAIN,Active,Low Inventory,PENDANT,0.0001971222175161,JC002,2.0,N/A,0.0
262,P37526SSYV-JC-S,5.0,339.0,68.24,3.96776,SHARED WITH AAFES.COM & KOHLS.COM,Active,Hot Seller,PENDANT,0.0117043067846607,JC002,0.0,N/A,0.0
263,P3808310KW-JC-S,-2.0,-165.0,-85.84,0.92218,SHARED WITH AAFES.COM & KOHLS.COM  ,Active,Review,PENDANT,-0.0055889696969696,JC002,1.0,N/A,0.0
264,P3911SSBLK-50-S,2.0,363.61,233.54,0.556949,NO CHAIN,Active,Healthy,PENDANT,0.0015317207997579,JC002,2.0,N/A,0.0
265,P392010KY-50-S,8.0,3752.17,2680.03,0.400047,NO CHAIN,Active,Hot Seller,PENDANT,0.0001066175040043,JC002,1.0,N/A,0.0
266,P3983SSYV-50-S,1.0,286.47,190.27,0.505597,NO CHAIN,Active,Review,PENDANT,0.0017649212832059,JC002,3.0,N/A,0.0
267,P4089510KY-JC-S,1.0,41.88,32.86,0.274497,None,Active,Review,PENDANT,0.0065543696275071,JC002,1.0,N/A,0.0
268,P424110KW-50-S,8.0,6452.32,4443.36,0.452126,NO CHAIN,Active,Hot Seller,PENDANT,7.007185012522628e-05,JC002,3.0,N/A,0.0
269,P4659SSYV-50-S,1.0,209.6,136.3,0.537784,None,Active,Review,PENDANT,0.0025657633587786,JC002,2.0,N/A,0.0
270,R932910KTT-JC-S,19.0,2783.7,2425.27,0.147789,None,Active,Overstocked / Slow Moving,RING,5.309085030714517e-05,JC002,22.0,N/A,0.0
271,RR1476SS-JC-S,4.0,600.0,462.99,0.295924,CLOSEOUT,Active,Low Inventory,RING,0.0004932066666666,JC002,1.0,N/A,0.0
272,R961810KPW-JC-S,2.0,268.25,226.36,0.185059,None,Active,Healthy,WED BAND,0.0006898751164958,JC002,9.0,N/A,0.0
273,BG1997SS-KO-S,3.0,900.0,858.65,0.048156,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,BANGLE,5.350666666666667e-05,K029,1.0,Unbranded,0.0
274,B207210KW-KO-S,-1.0,-39.39,-466.49,-0.91556,"NEEDS KOHLS INSPECTION, BEFORE RTS
OLD SKU#73720758                                         CLOSEOUT       ",Active,Deadweight,BRACELET,0.0232434628078192,K029,20.0,Unbranded,0.0
275,B2244SS-KO-S,8.0,2200.0,1595.48,0.378895,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,BRACELET,0.000172225,K029,8.0,Unbranded,0.0
276,B2253SS-KO-S,33.0,5775.0,3602.44,0.60308,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,BRACELET,0.0001044294372294,K029,2.0,Unbranded,0.0
277,B2266SS-KO-S,4.0,900.0,597.72,0.505721,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,BRACELET,0.0005619122222222,K029,6.0,Unbranded,0.0
278,B2269SS-KO-S,13.0,6435.0,4695.08,0.370583,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,BRACELET,5.7588655788655785e-05,K029,1.0,Unbranded,0.0
279,B2281SSYV-KO-S,21.0,2236.29,1695.48,0.318971,"NEEDS KOHLS INSPECTION, BEFORE RTS  SHARED WITH AAFES ",Active,Overstocked / Slow Moving,BRACELET,0.0001426340054286,K029,19.0,Unbranded,0.0
280,B230510KW-KO-S,3.0,3840.95,2878.68,0.334274,"NEEDS KOHLS INSPECTION, BEFORE RTS  ",Active,Low Inventory,BRACELET,8.702899022377278e-05,K029,1.0,Unbranded,0.0
281,B230610KW-KO-S,13.0,21313.68,15356.32,0.387941,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Hot Seller,BRACELET,1.8201502509186583e-05,K029,0.0,Unbranded,0.0
282,B230710KW-KO-S,6.0,12751.05,8753.04,0.456756,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Hot Seller,BRACELET,3.582105003117391e-05,K029,2.0,Unbranded,0.0
283,B2487SS-KO-S,1.0,113.42,60.19,0.884366,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Deadweight,BRACELET,0.0077972667959795,K029,6.0,Irena Park,0.0
284,B2488SS-KO-S,1.0,115.1,61.01,0.886575,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Deadweight,BRACELET,0.0077026498696785,K029,5.0,Irena Park,0.0
285,B2494SS-KO-S,0.0,0.0,0.0,0.0,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Review,BRACELET,,K029,2.0,Irena Park,0.0
286,B2495SS-KO-S,2.0,223.3,131.98,0.691923,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Healthy,BRACELET,0.0030986251679355,K029,2.0,Irena Park,0.0
287,B2576SS-KO-S,20.0,2200.0,1686.62,0.304383,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Overstocked / Slow Moving,BRACELET,0.0001383559090909,K029,11.0,Unbranded,0.0
288,B2598SS-KO-S,14.0,2170.0,1486.91,0.459402,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,BRACELET,0.0002117059907834,K029,1.0,Unbranded,0.0
289,R1205510KP-KO-S,2.0,501.96,430.69,0.165478,"NEEDS KOHLS INSPECTION, BEFORE RTS                 6 PCS IN CLOSEOUT",Active,Healthy,BRIDAL RING,0.0003296637182245,K029,6.0,Unbranded,0.0
290,R1205510KW-KO-S,3.0,753.43,609.15,0.236854,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,BRIDAL RING,0.0003143676253932,K029,1.0,Unbranded,0.0
291,R1205510KY-KO-S,8.0,2006.12,1651.12,0.215005,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,BRIDAL RING,0.0001071745458895,K029,0.0,Unbranded,0.0
292,R3216110KW-KO-S,-2.0,-1031.84,-626.18,0.647832,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Deadweight,BRIDAL RING,-0.0006278415258179,K029,17.0,Unbranded,0.0
293,R3372110KW-KO-S,9.0,4222.02,2398.44,0.760319,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Overstocked / Slow Moving,BRIDAL RING,0.0001800841777158,K029,20.0,Unbranded,0.0
294,R674510KW-KO-S,0.0,0.0,0.0,0.0,SHARED WITH ZALES,Active,Review,BRIDAL RING,,K029,3.0,Irena Park,0.0
295,R713710KW-KO-S,1.0,155.71,82.75,0.881691,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Deadweight,BRIDAL RING,0.0056623916254575,K029,16.0,Unbranded,0.0
296,R748510KW-KO-S,2.0,495.52,267.3,0.853797,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,BRIDAL RING,0.0017230323700355,K029,7.0,Unbranded,0.0
297,R757610KW-KO-S,18.0,3943.8,2491.56,0.582863,None,Active,Overstocked / Slow Moving,BRIDAL RING,0.0001477922308433,K029,61.0,Unbranded,0.0
298,R797010KPW-KO-S,1.0,976.76,540.85,0.805972,SHARED WITH ZALES,Active,Review,BRIDAL RING,0.0008251484499774,K029,2.0,Irena Park,0.0
299,R812810KW-KO-S,9.0,3713.22,2483.67,0.495053,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Overstocked / Slow Moving,BRIDAL RING,0.0001333217530876,K029,31.0,Unbranded,0.0
300,R867510KP-KO-S,1.0,571.66,299.55,0.908395,SHARED WITH ZALES,Active,Review,BRIDAL RING,0.0015890476856872,K029,4.0,Irena Park,0.0
301,R867610KW-KO-S,1.0,984.82,513.67,0.917223,SHARED WITH ZALES,Active,Review,BRIDAL RING,0.0009313610609045,K029,4.0,Irena Park,0.0
302,E134310KW-KO-S,1.0,279.14,221.54,0.259998,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Deadweight,EARRING,0.000931425091352,K029,14.0,Irena Park,0.0
303,E2075SS-33-S,8.0,960.0,616.08,0.558239,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0005814989583333,K029,7.0,Irena Park,0.0
304,E208910KW-KO-S,27.0,2193.0,1428.27,0.535423,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0002441509347925,K029,0.0,Unbranded,0.0
305,E209110KW-KO-S,30.0,3686.57,2517.4,0.464435,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0001259802472216,K029,0.0,Unbranded,0.0
306,E209310KW-KO-S,28.0,4541.56,3045.14,0.491412,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0001082033486291,K029,0.0,Unbranded,0.0
307,E2172SS-KO-S,17.0,2465.0,1497.14,0.646472,"
NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0002622604462474,K029,1.0,Unbranded,0.0
308,E217310KY-KO-S,0.0,0.0,-169.56,-1.0,"SHARED WITH AAFES.COM
NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Review,EARRING,-inf,K029,0.0,Unbranded,0.0
309,E217810KW-33-S,2.0,998.66,679.05,0.470672,CLOSEOUT,Active,Healthy,EARRING,0.0004713035467526,K029,1.0,Irena Park,0.0
310,E218110KP-KO-S,14.0,3389.96,2522.88,0.343686,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0001013834971504,K029,0.0,Unbranded,0.0
311,E222210KY-33-S,4.0,2412.92,1557.21,0.549514,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0002277381761517,K029,2.0,Irena Park,0.0
312,E2349SSPVBLK-33-S,11.0,770.0,490.65,0.569346,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0007394103896103,K029,5.0,Irena Park,0.0
313,E2634SSPV-33-S,1.0,100.0,63.32,0.579279,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Review,EARRING,0.00579279,K029,4.0,Irena Park,0.0
314,E2711SS-KO-S,3.0,269.01,160.18,0.679423,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Low Inventory,EARRING,0.002525642169436,K029,2.0,Irena Park,0.0
315,E2713SS-KO-S,5.0,473.5,257.79,0.836766,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Hot Seller,EARRING,0.0017671932418162,K029,2.0,Irena Park,0.0
316,E2714SS-KO-S,4.0,382.56,200.04,0.912417,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Healthy,EARRING,0.0023850297992471,K029,3.0,Irena Park,0.0
317,E2717SS-KO-S,0.0,0.0,0.0,0.0,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Review,EARRING,,K029,4.0,Irena Park,0.0
318,E2718SS-KO-S,6.0,584.7,337.79,0.730957,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Hot Seller,EARRING,0.0012501402428595,K029,3.0,Irena Park,0.0
319,E2719SS-KO-S,4.0,389.72,227.07,0.716298,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Low Inventory,EARRING,0.0018379811146464,K029,2.0,Irena Park,0.0
320,E2721SS-KO-S,4.0,388.6,203.24,0.912025,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Healthy,EARRING,0.0023469505918682,K029,4.0,Irena Park,0.0
321,E2722SS-KO-S,2.0,194.22,111.7,0.738764,"SHARED WITH ZALES
UPDATE INVENTORTY IN ZALE SHEET",Active,Healthy,EARRING,0.0038037483266398,K029,5.0,Irena Park,0.0
322,E277110KW-KO-S,4.0,1283.78,876.34,0.464933,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0003621594042592,K029,0.0,Unbranded,0.0
323,E2863SSPVBLK-KO-S,3.0,120.0,75.54,0.588562,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0049046833333333,K029,2.0,Unbranded,0.0
324,E2864SSPVBLK-KO-S,11.0,550.0,373.8,0.471375,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0008570454545454,K029,3.0,Unbranded,0.0
