Unnamed: 0,Item_id,sales_qty,sales_amt,COGS,profit,Comments,Status,Performance_Category,style_category,profit_margin,Customer,Total_Qty,Brand,Closeout_Qty,style_cd,onhand,stock,Inventory_Difference,profit_amt,profit_margin_pct
227,E2972SSPV-KO-S,1.0,90.0,60.33,0.491795,"NEEDS KOHLS INSPECTION, BEFORE RTS                                     8 PCS IN CLOSEOUT",Active,Deadweight,EARRING,0.0054643888888888,K029,8.0,Unbranded,0.0,E2972SSPV-KO-S,8.0,8.0,0.0,29.67,32.96666666666667
228,E2972SSYV-KO-S,1.0,90.0,60.33,0.491795,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Deadweight,EARRING,0.0054643888888888,K029,11.0,Unbranded,0.0,E2972SSYV-KO-S,11.0,11.0,0.0,29.67,32.96666666666667
229,E3002SS-KO-S,9.0,675.0,445.1,0.516513,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0007652044444444,K029,9.0,Unbranded,0.0,E3002SS-KO-S,10.0,10.0,-1.0,229.89999999999998,34.05925925925926
230,E310710KPW-KO-S,4.0,762.38,600.54,0.26949,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0003534851386447,K029,1.0,Unbranded,0.0,E310710KPW-KO-S,1.0,1.0,0.0,161.84000000000003,21.228258873527643
231,E311110KY-KO-S,4.0,566.56,334.56,0.693448,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0012239621575826,K029,5.0,Unbranded,0.0,E311110KY-KO-S,6.0,6.0,-1.0,231.99999999999994,40.948884495905105
232,E3119SS-KO-S,19.0,855.0,541.19,0.579851,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0006781883040935,K029,9.0,Unbranded,0.0,E3119SS-KO-S,8.0,8.0,1.0,313.80999999999995,36.70292397660818
233,E3119SSPV-KO-S,10.0,450.0,293.06,0.535521,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0011900466666666,K029,5.0,Unbranded,0.0,E3119SSPV-KO-S,5.0,5.0,0.0,156.94,34.87555555555556
234,E3119SSYV-KO-S,10.0,450.0,293.06,0.535521,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0011900466666666,K029,9.0,Unbranded,0.0,E3119SSYV-KO-S,9.0,9.0,0.0,156.94,34.87555555555556
235,E312010KP-KO-S,3.0,426.78,299.35,0.425688,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Low Inventory,EARRING,0.0009974413046534,K029,0.0,Unbranded,0.0,E312010KP-KO-S,1.0,2.0,-1.0,127.42999999999995,29.858475092553533
236,E3121SS-KO-S,11.0,605.0,423.5,0.428571,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0007083818181818,K029,5.0,Unbranded,0.0,E3121SS-KO-S,5.0,5.0,0.0,181.5,30.0
237,E3121SSYV-KO-S,7.0,385.0,286.89,0.341977,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0008882519480519,K029,1.0,Unbranded,0.0,E3121SSYV-KO-S,1.0,1.0,0.0,98.11000000000001,25.483116883116885
238,E3122SS-KO-S,4.0,252.0,188.52,0.336728,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0013362222222222,K029,1.0,Unbranded,0.0,E3122SS-KO-S,1.0,1.0,0.0,63.47999999999999,25.190476190476186
