Div,AE,Cust Code,Customer,Buyer,Style,Style Description,SKU No.,Metal Kt,Inception Dt.,OM 1/1/24,Shipped_Qty,Returned_Qty,Net_Sales_2024,Net_Sales_2025_YTD,Open_Memo_Qty,Open_Memo_Amt,Sell_Through_Pct,Expected_Sales_6mo,Excess,RA_Issued,Performance_Category
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,E2528SS-C25,M/M - 1/6 CTW SINGLE STAR EARRING KT,20597574,SS,12/2/2024,0,20,0,4,14,2,98.32,239.78,24,,,Strong Seller
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,N717SS-C25,M/M - 1/5 CTW 2 STAR LAYERED NECK KT,20597689,SS,12/2/2024,0,20,1,7,8,4,358.32,210.33,20,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LP2750SS-23,3/4 CTW GRADUATING HEART PENDANT,20597002,SS,12/2/2024,0,1433,13,3,1114,303,24315.75,209.57,1468,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,R10871SS-C25,M/M - 1/5 CTW STAR FASHION RING KT,20597586,SS,12/2/2024,0,25,0,10,9,6,395.1,202.48,25,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P2272SS-C22,SILVER 1/10 CTW HEART W/SIDE CROSS PEND,190464709,SS,10/24/2024,0,131,1,106,17,7,176.12,196.22,126,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,PD2279410KY-C28,1/4 CTW DIA CROSS PENDANT,432184202,10K,11/5/2024,0,30,0,22,4,4,399.12,192.89,29,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P2280SS-C22,1/5 CTW KEY PEND,514375308,SS,10/22/2024,0,61,1,43,12,5,224.9,187.97,56,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P3955SS-C22,1/10 CTW MOM HEART PENDANT,200689507,SS,10/24/2024,0,49,1,38,5,5,236.6,185.78,44,,,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,B3343SS-20,IAAP 1/4 CTW HEART SHAPE LINK BRACELE KM,834993002,SS,12/5/2024,0,1200,25,0,796,379,34182.01,184.53,1069,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P40896SSBLK-C22,1/5 CTW PRN BLK DIA SS CROSS PEND,135903502,SS,10/24/2024,0,118,2,73,23,20,836.6,171.63,98,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE2258SSYV-24,1/2 CTW LCD RD SOL EARRINGS GSI CB,20593728,SS,10/14/2024,0,44,22,11,8,3,270.03,169.48,18,,,Strong Seller
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LB3404SS-23,IAAP 1CTW LCD CUBANLINK DIA BRAC GSI KM,20590051,SS,9/9/2024,0,342,13,327,-1,3,661.29,163.65,266,,ZOM03272025,Strong Seller
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE232810KY-24,1 CTW LCD RD STUDS W SCREW BACKS GSI CB,20591639,10K,9/10/2024,0,410,0,400,3,7,1116.99,163.08,330,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LN1809SS-23,IAAP 5 CTW LCD CUBANLINK DIA NECK GSI KM,20590054,SS,9/9/2024,0,170,17,150,1,2,1752.08,163.0,123,,ZOM03272025,Strong Seller
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE232810KW-24,1 CTW LCD RD STUDS W SCREW BACKS GSI CB,20589967,10K,9/10/2024,0,550,0,534,6,10,1595.8,162.89,442,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,B2449SS-C25,1/6 CTW SINGLE STAR BRACELET,20597569,SS,12/2/2024,0,20,0,2,10,8,470.32,159.85,16,,,Review
NL,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,LN1646SS-22,5 5/8 CTW LCD CUBAN LINK MEN NECK GSI SD,378953804,SS,11/11/2024,0,30,1,10,10,9,10766.61,159.32,23,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LN200210KY-23,5 CTW LCDTENNIS ETERNITY NECKLACE GSI KM,20589678,10K,8/28/2024,0,331,26,262,35,8,8711.44,152.54,229,,ZOM03272025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E4947SS-24,IAAP 1/8 CTW CUSHION SHP HOOP EARRING CB,20589960,SS,9/9/2024,0,140,1,125,1,13,840.84,149.71,103,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,P4089410KTT-C25,1/10TH 10KTT DIAMOND ANCHOR PENDANT,20597585,10K,12/2/2024,0,25,0,4,10,11,1309.99,149.2,18,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,P3536710KW-C28,1/10TH CTW DIAMOND SMALL HEART PENDANT,394183406,10K,11/8/2024,0,50,0,19,13,18,1874.88,145.09,36,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Lisa Pitoniak,N1875SS-22,IAAP 1/2CTW RND CLUS MP ETERNITY NEK LP,920361603,SS,8/15/2024,0,266,9,229,17,11,2144.89,142.02,180,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LN201110KW-20,IAAP 7 CTW LCD DIA LINK GENTS NEC GSI TG,190372401,10K,8/26/2024,0,276,201,42,26,7,23897.16,140.82,52,,STM02052025,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,B3402SS-20,1/10 CTW MIRACLE PLATE BUTCUP TENNIS KL,818578306,SS,8/1/2024,0,5900,88,5742,47,23,1271.44,139.83,4008,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,E422510KY-25,1/5 CTW CUBAN LINK CROSS MENS EARRING MK,20590707,10K,9/10/2024,0,25,9,12,1,3,496.56,134.8,11,,ZOM01202025,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP4441SSYV-24,1/2 CTW LCD SOL PENDANT GSI CB,20592993,SS,10/4/2024,0,50,25,4,14,7,655.48,134.08,17,,,Review
NL,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,LP314610KW-22,1/3 CTW LCD CROSS PENDANT GSI CERT SD,394139303,10K,10/31/2024,0,35,1,16,4,14,2549.82,127.04,21,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,P3694710KW-C28,1/10 CTTW DIA PERFECT HEART PENDANT,522373505,10K,11/8/2024,0,50,0,14,14,22,2479.4,126.96,31,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE503418KY-24,1/3 CTW LCD CHANDELIER EARRING GSI CB,20590998,18K,9/12/2024,0,60,0,37,8,15,4103.4,125.57,37,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LB351810KW-20,IAAP 4CTW LCD DIA LINK GENTS BRAC GSI TG,380925709,10K,8/26/2024,0,400,303,58,20,19,28232.86,124.9,60,,STM02052025,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P4128SS-C22,1/10 CTTW HEART PENDANT,151407501,SS,10/25/2024,0,24,0,8,6,10,474.0,121.67,14,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LB261810KW-24,10 CTW LCD BUTTERCUP BRACELET GSI CB,20594371,10K,11/1/2024,0,40,0,10,12,18,30213.54,119.49,24,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,N1955SS-24,IAAP 1/3 CTW CUSHION SHP NECKLACE CB,20591633,SS,9/9/2024,0,150,0,109,-2,43,6847.75,117.81,87,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,P326010KW-C25,MM- 3/4 CTW FASHION PENDANT KT,20597555,10K,12/2/2024,0,19,0,0,8,11,4457.42,112.18,11,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,R1385710KY-C22,1/2 CTTW BG GENTS ANNIVERSARY BAND VC,351105200,10K,7/9/2024,0,23,0,14,6,3,1181.7,112.15,13,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,LE501510KW-20,IAAP 3 CTW 3/4CT RND HALO EARRING KL,660820109,10K,8/1/2024,0,446,54,245,59,88,41062.56,108.87,210,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P37020SS-C22,1/10 CTW HEART PEMDANT,254150802,SS,10/25/2024,0,125,3,46,17,59,1828.41,107.7,65,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P3469SS-C22,1/2 CTTW SLANTED HEART PENDANT,394184004,SS,10/24/2024,0,27,0,9,5,13,2093.52,107.53,14,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Misty Thrash,LN1448SS-24,1 CTW LCDSOFTER CUBAN MENS NECK GSI MT,20591047,SS,9/9/2024,0,120,0,60,15,45,14235.3,103.22,61,,ZCMF04032025,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,LE487310KW-20,1 1/2 CTW LCD DIA RD HALO EAR IAAPGSI AR,961571609,10K,8/1/2024,0,1362,21,798,180,363,94187.61,102.38,677,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E4946SS-24,IAAP 1/8 CTW CUSHION SHP DROP EARRING CB,20589961,SS,9/9/2024,0,275,0,153,15,107,6935.74,100.9,137,,,Review
NL,Darshan Samani,Z003,ZALE DELAWARE INC. OUTLET,Jennifer Slaboda,LB299310KW-25,8 CTTW LCD MULTI ROWS BRACELET GSI JS,20590879,10K,10/8/2024,0,20,0,9,2,9,11759.04,104.56,10,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Misty Thrash,LB3543SS-24,1 CTW LCD SOFT CUBANLINK MEN BRAC GSI MT,20591789,SS,9/23/2024,0,30,0,12,5,13,3239.34,99.92,15,,,Slow Mover
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,E470110KW-25,1 1/2 CTW CUSHION CLUSTER STUD EARRIN MK,20590709,10K,9/9/2024,0,18,13,2,1,2,2001.58,99.1,2,,ZOM01202025,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP467418KY-24,1/3 CTW LCD CHANDELIER PENDANT GSI CE CB,20592403,18K,9/12/2024,0,60,0,28,7,25,9525.75,97.67,29,,,Slow Mover
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,E443214KW-20,3/4 CTW DANGLING 1 PEAR & RND HOOP KL,716014206,14K,9/5/2024,0,10,0,2,4,4,3024.24,97.33,5,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,B2714SS7.5-C22,1/2 CTTW HEART BRACELET,555509708,SS,10/22/2024,0,33,0,14,1,18,3047.58,93.21,15,3.0,,Slow Mover
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,R16004SSBLK-22,1 1/2 CTW MULTI ROW WIDE GENTS RING SD,802725806,SS,9/19/2024,0,25,0,6,7,12,2512.44,89.95,11,1.0,STO03212025,Slow Mover
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP3587SSYV-24,1 CTTW LCD ROUND SOLITAIR PENDANT GSI CB,20592988,SS,10/4/2024,0,50,25,2,10,13,2373.15,89.39,11,2.0,,Slow Mover
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LR1588014KY-23,1/10 CTTW LCD 3 BGT DIA FAS RING GSI KM,20583056,14K,4/16/2024,0,161,105,47,3,6,716.34,88.8,25,,ZAM08202024,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,P466410KY-25,2 1/2 CTW JESUS ON A CROSS OVAL PEND MK,20590705,10K,9/18/2024,0,12,8,1,1,2,2708.06,86.08,2,,ZOM01202025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,B2576SS-C24,1/3 CTW EVER AMORE BOLO BLET LP,20597554,SS,11/27/2024,0,15,0,0,5,10,1053.2,85.68,6,4.0,,Slow Mover
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE503318KY-24,1/2 CTW LCD CHANDELIER DANGLING GSI CB,20592474,18K,9/12/2024,0,59,0,20,10,29,10000.94,85.13,25,4.0,,Slow Mover
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP3587SS-24,1 CTTW LCD ROUND SOLITAIR PENDANT GSI CB,20585014,SS,5/16/2024,0,32,0,22,3,7,1199.87,84.62,13,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LBG215118KY-24,1 CTW LCD 9 STN DIA GOLD BANGLE GSI CB,20591007,18K,9/12/2024,0,12,0,2,4,6,6437.76,83.72,5,1.0,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,LP446310KW-20,3/4 CTW LCD ROUND CLUSTER PENDANT GSI KL,491541506,10K,3/19/2024,0,92,0,76,6,10,1936.2,82.36,37,,,Slow Mover
AJ,Darshan Samani,Z000,ZALE CORPORATION,Amy Bankler,E486010KY-23,0.03 CTW EARRING KM,20582309,10K,3/15/2024,0,144,124,19,-1,2,207.84,82.33,8,,ZAM08202024,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE3372SSYV-24,1 CTTW LCD DIA STUD EARRINGS GSI CB,20593135,SS,10/4/2024,0,50,25,6,5,14,1960.0,81.94,10,4.0,,Slow Mover
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Misty Thrash,R1615818KY-24,1/3 CTW LORD GANESHA GENTS RING MT,20591653,18K,9/6/2024,0,12,0,4,2,6,10136.88,81.47,5,1.0,ZCMF04032025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Misty Thrash,P466618KY-24,1/2 CTW LORD MAHALAXMI GENTS PENDANT MT,20591064,18K,9/6/2024,0,12,0,2,4,6,7528.14,81.47,5,1.0,ZCMF04032025,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,P453114KW-20,1 CTW 4 PEAR PENDANT KL,910495100,14K,9/5/2024,0,10,0,4,1,5,6267.65,81.11,4,1.0,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,E4108SSBLK-22,1/2 CTTW RND HALO BLK & WH GENTS EARR SD,818581302,SS,9/19/2024,0,75,0,19,16,40,5597.2,80.73,30,10.0,STO03212025,Slow Mover
NL,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,LN201414KW-20,4 CTW LCD ETERNITY TENNIS NECKLAC GSI AR,534170509,14K,9/18/2024,0,55,0,18,7,30,38598.9,78.26,21,9.0,STM02262025,Slow Mover
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,N717SS-C24,M/M - 1/5 CTW 2 STAR LAYERED NECK KT,20597594,SS,11/27/2024,0,10,0,0,3,7,627.13,77.11,4,3.0,,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,R1212310KY-20,3/4 CTW SCULPTED RING KL,878340203,10K,9/5/2024,0,55,0,16,10,29,15242.69,76.69,21,8.0,STM02262025,Slow Mover
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,P452710KW-20,1/10 CTW DBL HEART PENDANT IAAP KL,253914509,10K,1/1/2024,100,880,343,633,0,4,567.36,76.68,241,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P3879SS-24,1/6 CTTW MIRACLE PLATE CROSS PENDANT CB,20569778,SS,1/1/2024,167,0,0,163,2,2,129.1,76.24,63,,,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,B320210KW-20,5 CTW ROUND HALO BRACELET KL,802693705,10K,1/1/2024,577,0,313,259,1,4,7199.76,76.0,99,,STM01242024,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LB351910KY-23,IAAP 1 1/2 CTW LCD ROUND DIA BRAC GSI KM,20589471,10K,8/27/2024,0,650,4,236,79,331,150944.66,76.06,242,89.0,,Slow Mover
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP3261SS-24,1/10 CTW SOLITAIRE PENDANT GSI CB,20571471,SS,1/1/2024,395,0,71,317,0,7,230.02,75.5,121,,ZCM07122024,Dead Weight
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,R11930SSYV-20,1/10 CTW ALT 2 STNS W X STACKABL BAND KL,723386001,SS,1/1/2024,91,0,0,88,1,2,95.62,75.47,34,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P431310KY-24,1/5 CTW CUSHION SHP PENDANT CB,20569333,10K,1/1/2024,112,270,162,214,1,5,431.8,75.41,82,,ZCM07022024,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,R13542SS-20,0.07 CTTW 3 STONE FASHION BAND KL,563848009,SS,1/1/2024,87,0,8,77,0,2,73.72,75.21,29,,,Dead Weight
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E451710KP-24,1/5 CTW CUSHION SHP EARRING CB,20569442,10K,1/1/2024,50,170,125,93,-1,3,257.97,74.73,35,,ZCM07022024,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,B2633SS-24,1/4 CTW MIRACLE PLATE BUTTER TENNIS B CB,20582074,SS,4/6/2024,0,35,0,23,4,8,608.8,74.69,13,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E451710KW-24,1/5 CTW CUSHION SHP EARRING CB,20569443,10K,1/1/2024,174,150,50,262,3,9,784.08,74.63,101,,ZCM07022024,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE302610KWFSI-24,1/3 CTW LCD  ROUND STUD GSI CERT CB,20577745,10K,1/1/2024,120,0,0,113,3,4,350.48,74.59,44,,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P431310KW-24,1/5 CTW CUSHION SHP PENDANT CB,20569334,10K,1/1/2024,178,195,118,244,2,9,777.33,74.44,94,,ZCM07022024,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E451710KY-24,1/5 CTW CUSHION SHP EARRING CB,20569441,10K,1/1/2024,85,220,115,178,5,7,601.93,74.32,70,,ZCM07022024,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE225910KWFSI-24,3/4 CTW LCD RD 10K SOL EARRI GSI CERT CB,20577773,10K,1/1/2024,80,0,1,75,1,3,482.76,74.24,29,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,N93914KW-C28,1/2 CTW 3 HEARTS NECKLACE,220560104,14K,11/5/2024,0,15,0,2,3,10,4283.4,74.19,5,5.0,,Slow Mover
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P4326SS-24,1/10CTW MIRACLE PLATE CUSH PENDANT CB,20569533,SS,1/1/2024,73,0,0,71,-1,3,89.43,74.0,27,,ZCDF04032025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E4314SS-24,1/10CTW MIRACLE PLATE FASHION EARRING CB,20569468,SS,1/1/2024,187,0,0,174,5,8,238.48,73.87,68,,ZCDF04032025,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,R1385910KY-C22,1/4 CTW RD 7 STNS TWIST BAND KW,878331507,10K,7/1/2024,0,140,0,63,19,58,7710.52,73.47,51,7.0,,Slow Mover
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P431310KP-24,1/5 CTW CUSHION SHP PENDANT CB,20569413,10K,1/1/2024,102,170,177,89,1,5,431.85,73.11,34,,ZCM07022024,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E4526SS-24,1/10CTW OVAL HALO FASHION EARRING CB,20569440,SS,1/1/2024,132,0,0,123,2,7,208.6,73.07,48,,ZCDF04032025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,P4319SS-24,1/10CTW MIRACLE PLATE OVAL SHAPE PEND CB,20569521,SS,1/1/2024,110,0,0,102,2,6,178.86,72.96,40,,ZCDF04032025,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE2924SS-24,1/8 CTW ROUND STUD EARRING GSI CB,20571470,SS,1/1/2024,523,0,16,474,3,30,860.1,72.6,182,,ZCM07122024,Slow Mover
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LN100410KW-23,3 CTW LCD STRAIGHT ETERNITY NECKL GSI KM,20570520,10K,1/1/2024,403,0,272,117,6,8,8634.72,72.45,47,,ZAM041220242,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LP4433SS-23,1/2 CTW LCD TRIPLE HEA PENDA GSI CERT KM,20577196,SS,1/1/2024,2350,0,55,2078,65,152,10565.52,72.06,816,,ZOM03272025,Slow Mover
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP358714KW-24,1 CTTW ROUND SOLITAIR PENDANT GSI CB,20570272,14K,1/1/2024,60,0,0,54,2,4,1435.84,72.02,21,,ZCDF04032025,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Tamara Zemlensky,E329710KW-99,1/3 CTW LOVE KNOT EARRINGS TZ,360645600,10K,1/1/2024,68,0,40,22,4,2,326.18,71.66,10,,STM08162024,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LP103410KW-20,4 CTTW LCD CROSS GENTS PENDANT TG,818581706,10K,9/9/2024,0,30,0,4,9,17,15152.61,71.57,11,6.0,,Slow Mover
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,P2487SS-20,1/5 CTW QUAD W HALO PENDANT KL,890205901,SS,1/1/2024,28,0,1,25,0,2,209.4,71.45,10,,,Dead Weight
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,E356310KY-STK,1/3 CTTW NEW OX EARRINGS KL,182807103,10K,1/1/2024,38,0,0,32,3,3,835.59,71.07,13,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,LE475310KW-20,1 CTW LCD 4 PEAR EARRING GSI CERI KL,802715209,10K,3/20/2024,0,55,0,35,7,13,3479.58,70.74,19,,,Slow Mover
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LB267910KY-23,1 1/3 CTTW ROUND DIA BRACELET GSI KM,20570775,10K,1/1/2024,162,0,117,39,2,4,1674.24,70.31,16,,ZAM041220242,Review
AJ,Darshan Samani,B003,BEN BRIDGE CORPORATION,Laura Barringer,BG224014KY-42,1/15 CTW 2 FAUX PEAR CUFF BANGLE LB,60011495,14K,6/19/2024,0,12,0,6,1,5,1600.0,70.27,4,1.0,,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,B232010KY-24,3 CTW STRAIGHT LINE BRACELET CB,20569854,10K,1/1/2024,180,40,191,26,0,3,3222.39,69.18,10,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Lisa Pitoniak,E357610KY-STO,1 1/2 CTTW DIA COMPOSIT EARRING LP,182808701,10K,1/1/2024,35,0,18,15,0,2,1232.7,68.09,6,,STM07112024,Dead Weight
NL,Darshan Samani,J054,STERLING JARED VAULT,Courtney Francis,LP205314KW-28,1/2 CTW LCD CUS SH CLUST HALO PDT GSI CF,731540201,14K,11/7/2024,0,30,0,1,8,21,5431.02,67.59,10,11.0,,Slow Mover
AJ,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,B3355SS-20,3/4 CTW RD&BG LAR LINK GENTS BRACELET TG,522268301,SS,1/1/2024,394,0,370,21,0,3,733.53,67.52,8,,STM01192024,Dead Weight
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E435110KW-24,1 CTW RND FLOWER EARRING CB,20570271,10K,1/1/2024,77,0,61,14,0,2,1118.22,67.52,5,,ZCM07122024,Dead Weight
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LN1465SSYV-24,2 CTW LCD BUTTERCUP ETERNITY NECK GSI CB,20593245,SS,9/27/2024,0,25,1,3,6,15,3866.85,67.43,8,7.0,,Slow Mover
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,B230310KY-24,5 CTW STRAIGHT LINE BRACELET CB,20569779,10K,1/1/2024,162,40,187,13,0,2,3550.54,66.88,5,,,Review
AJ,Darshan Samani,LS003,SHERWOOD MANAGEMENT,Sherwood,R763714KY-C82,1/2CTW 3 STN .11RD ILLSN MQ CTR H,189-38407,14K,1/1/2024,15,0,1,12,0,2,730.0,66.14,5,,,Dead Weight
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,R1105510KW-20,1/4 CTW QUAD ENG RG KL,491514600,10K,1/1/2024,71,0,1,40,20,10,2350.0,66.14,23,,,Slow Mover
AJ,Darshan Samani,Z000,ZALE CORPORATION,Amy Bankler,E401310KW-23,1/4 CTW IN & OUT HOOP EARRINGS KM,20562976,10K,1/1/2024,47,0,5,32,4,6,1196.7,66.14,14,,ZOM03272025,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LP101910KW-20,2 CTW LCD MENS CROSS PENDANT TG,818581807,10K,9/9/2024,0,25,0,6,4,15,8712.15,66.06,8,7.0,,Slow Mover
AJ,Darshan Samani,Z000,ZALE CORPORATION,Amy Bankler,R1347510KW-23,1/4 CTTW X ALL BG FASHION RING KM,20532209,10K,1/1/2024,35,0,1,26,3,5,1119.6,65.82,11,,ZOM03272025,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,E357010KW-STK,1/4 CTTW NEW XO EARRINGS KL,182807002,10K,1/1/2024,32,0,0,26,1,5,1251.15,65.11,10,,,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,R1411614KW-20,1 1/2 CTTW MULTI TWIST FASHION BAND KL,878346004,14K,9/5/2024,0,10,0,2,2,6,7569.48,64.89,3,3.0,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Lisa Pitoniak,N1506SS-22,1/2 CTW RND CLUSTER MP ETERNITY NECKL LP,431984501,SS,1/1/2024,33,0,8,19,2,4,688.04,64.82,8,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Misty Thrash,LR1359910KW-24,5 3/4 CTTW SQR CLUSTER GENTS RING GSI MT,20573445,10K,1/1/2024,12,0,0,4,6,2,2751.28,64.31,4,,ZCMF04032025,Review
